OSS Title,License Name/Version #,Description,Version
pandas,BSD-3-Clause License,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures",2.2.3
psycopg2-binary,GNU Lesser General Public License,PostgreSQL database adapter for the Python programming language,2.9.10
requests,Apache-2.0,"A simple, yet elegant, HTTP library.",2.32.3
pyinstaller,"GNU General Public License, Apache 2.0",Freeze (package) Python programs into stand-alone executables,6.11.1
psutil,BSD 3-Clause License,Cross-platform lib for process and system monitoring in Python,6.1.1
squid,Apache License 2.0,http proxy server,6.6
jq,MIT License,Software for verifying syntax of json files,1.6
urllib3,MIT License,"urllib3 is a powerful, user-friendly HTTP client for python",1.26.5
pyarrow,"Apache Software License (Apache License, Version 2.0)",Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing,19.0.0
ucx,BSD 3 Clause License,Unified Communication X ,1.15.0
gcc-c++,GPL-3.0,"This package adds C++ support to the GNU Compiler Collection. It includes support for most of the current C++ specification, including templates and exception handling.
",11.5.0
clang,Apache-2.0 WITH LLVM-exception OR NCSA,"The goal of the Clang project is to create a new C, C++, Objective C and Objective C++ front-end for the LLVM compiler.",19.1.7
openmpi, 3-clause BSD license,Open MPI main development repository,4.1.6
nfs-subdir-external-provisioner,Apache License 2.0,Dynamic sub-dir volume provisioner on a remote NFS server.,4.0.18
NCCL,Apache-2.0 license,Optimized primitives for collective multi-GPU communication,2.25.1
RCCL,Apache-2.0 license,ROCm Communication Collectives Library (RCCL),2.21.5
mysql,MIT license,MySQL is an open-source relational database management system.,9.3
commented.configparser,MIT license,Custom ConfigParser class that preserves comments in file when writing,2.1.0
pyyaml,MIT license,Canonical source repository for PyYAML,6.0.2
PyMySQL,MIT license,MySQL client library for Python,1.1.1
which,GPL-3.0," The which command shows the full pathname of a specified program, if the specified program is in your PATH.",2.21
openssh-clients,BSD licence,An open source SSH client applications,9.0p1
Pulp container,GNU General Public License v2,Pulp 3 pulpcore package,3.80.0
pulp-cli,GNU GENERAL PUBLIC LICENSE Version 2,Command line interface to talk to pulpcore's REST API.,0.29.2
pulp-deb,GNU GENERAL PUBLIC LICENSE Version 2,pulp-deb plugin for the Pulp Project,3.4.0
pulp-cli-deb,GNU GENERAL PUBLIC LICENSE Version 2,Command line interface to talk to pulpcore's REST API. (Deb plugin commands),0.3.0
pulp-glue,GNU GENERAL PUBLIC LICENSE Version 2,Version agnostic glue library to talk to pulpcore's REST API.,0.29.2
pulp-glue-deb,GNU GENERAL PUBLIC LICENSE Version 2,Version agnostic glue library to talk to pulpcore's REST API. (deb plugin),0.3.0
pulpcore,GNU GENERAL PUBLIC LICENSE Version 2,Pulp Django Application and Related Modules,3.69.0
corosync,BSD-3-Clause,"This package contains the Corosync Cluster Engine Executive, several default APIs and libraries, default configuration files, and an init script.",3.1.8
pcs,"GPL-2.0-only, MIT","pcs is a corosync and pacemaker configuration tool.  It permits users to easily view, modify and create pacemaker based clusters.",0.11.5
openssh-server,BSD licence,Portable OpenSSH,9.0p1
rsyslog,GPLv3+ and ASL 2.0,Enhanced system logging and kernel message trapping daemon,8.2210.0
